channel_id,channel_name,total_subscribers,total_views,total_videos
UCvEAgG7WzPZnZkf9iOV_YCg,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,26200000.0,10366652239.0,458.0
UCCyKsYaRi62axS-kasXW7wA,Wow Kidz Action,27100000.0,13529195474.0,9517.0
UCl_Ksy6Yi1b4eEZ46FInb_w,Prajapati News,17600000.0,1169621800.0,2362.0
UCcryiZdagSR9M-Oii_Y4OfQ,ZappyToons - Hindi Nursery Rhymes and Stories,33500000.0,25563748768.0,1026.0
UCFcBAGR0drI3F15EhMFjuTg,Aayu and Pihu Show,20800000.0,14902649561.0,894.0
UCjBwQ6M9QyCgO5Pp-TQRFUA,RKD Studios,27700000.0,7972930885.0,1425.0
UCxJcrDUc8awRSLzLbnIiAmQ,And TV,25700000.0,24980383948.0,53646.0
UCoy3dQzEdq1y2zMnT4pdj3Q,SriBalajiMovies,23200000.0,14408058211.0,36879.0
UCnSFZ-olBoLGLRUS_3RI2Aw,Taarak Mehta Ka Ooltah Chashmah,37700000.0,53326570604.0,29715.0
UC9CYT9gSNLevX5ey2_6CK0Q,NDTV India,26600000.0,32482919276.0,361516.0
UCIeNlITYK46VkR7yIuTL8GQ,Volga Video,18000000.0,7898437685.0,4628.0
UCVmEbEQUGXHVm-O9pqa3JWg,Harsh Beniwal,16600000.0,2612141972.0,224.0
UCe3GjNY3Kqi8Xd6nT4JN_6w,Fun For Kids TV - Hindi Rhymes,22400000.0,10895287854.0,336.0
UChXi_PlJkRMPYFQBOJ3MpxA,Gyan Gamingㅤ,19600000.0,533092724.0,274.0
UCB4SvelHl4qjFSNYfxhp-SQ,Team Films Bhojpuri,17200000.0,7195736761.0,20473.0
UCgJ5_1F6yJhYLnyMszUdmUg,Shorts Break,48800000.0,43436931381.0,1057.0
UCAH1Aw-mXgcB3t8uaqW4yTA,SRK MUSIC,20000000.0,8890042405.0,5672.0
UCUPD0jQo-EP0B1Nf4uzeIMA,Mazhavil Manorama,21000000.0,29129764156.0,179221.0
UC783dnzJqf2ghHp_pFLYbGA,DM - Desi Melodies,21300000.0,9005944382.0,1224.0
UCXOgAl4w-FQero1ERbGHpXQ,Zee 5,20000000.0,28853371097.0,257455.0
