#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_id,channel_name,total_subscribers,total_views,total_videos
34,Wow Kidz @UCN8S4CqMRy6tVKVXvs7Bzeg,27.6M,-,India,,8.3M,UCN8S4CqMRy6tVKVXvs7Bzeg,WowKidz,41400000,24361102482,15287
35,infobells - Tamil @UCHcn4Ux-sO9nzNu7rDsoQLg,27.1M,-,India,Marketing and Advertising Education,8.1M,UCHcn4Ux-sO9nzNu7rDsoQLg,infobells - Tamil,36300000,25621146839,973
36,infobells - Telugu @UCHvoq_rGmOKJKGId1nD1V4Q,26.5M,-,India,,8M,UCHvoq_rGmOKJKGId1nD1V4Q,infobells - Telugu,37600000,25326180199,920
37,BB Ki Vines @UCqwUrj10mAEsqezcItqvwEw,25.5M,6%,India,Education Celebrity Business and Finance,7.7M,UCqwUrj10mAEsqezcItqvwEw,BB Ki Vines,26500000,5374775069,195
38,Shemaroo Movies @UCBOmfqgTZi7yDp4-3Lr_3lA,22.6M,-,India,,6.8M,UCBOmfqgTZi7yDp4-3Lr_3lA,Shemaroo Movies,39800000,11690707472,3927
39,White Hill Music @UCopY0NAzASqmD6eVaRj2TFQ,22.4M,-,India,,6.7M,UCopY0NAzASqmD6eVaRj2TFQ,Ishtar Punjabi,25700000,14825520846,8232
40,Technical Guruji @UCOhHO2ICt0ti9KAh-QHvttQ,22.2M,-,India,,6.7M,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000,4092004059,6341
41,Venus Movies @UCpcsv3Ow-8IhoUGDEfPetsQ,21.8M,-,India,,6.5M,UCpcsv3Ow-8IhoUGDEfPetsQ,Venus Movies,27700000,6267224411,2520
42,Wave Music Bhojpuri @UCYLlkv4hivYJlOk6Lo-RHNQ,21.8M,-,India,,6.5M,UCYLlkv4hivYJlOk6Lo-RHNQ,Wave Music Bhojpuri,27200000,16235865014,25551
43,Crazy XYZ @UCebC4x5l2-PQxg46Ucv9CsA,21.7M,1.3%,India,,6.5M,UCebC4x5l2-PQxg46Ucv9CsA,Crazy XYZ,36900000,11882803527,1703
44,Dushyant kukreja @UCo6y9hnRawAqtyWhRhblXqg,21.3M,-,India,,6.4M,UCo6y9hnRawAqtyWhRhblXqg,Dushyant kukreja,50000000,35554859532,1900
45,Pen Movies @UC3ar28GS6o1p0m_wabfk2zw,21.1M,-,India,Celebrity,6.3M,UC3ar28GS6o1p0m_wabfk2zw,Pen Movies,30100000,9863001946,1864
46,Ultra Movie Parlour @UCYauDsl-rswjQGpA0_-Z9Pw,20.8M,-,India,,6.2M,UCYauDsl-rswjQGpA0_-Z9Pw,Ultra Movie Parlour,32300000,7752380527,2299
47,Netflix India @UCZSNzBgFub_WWil6TOTYwAg,20.6M,-,India,Celebrity,6.2M,UCZSNzBgFub_WWil6TOTYwAg,Netflix India,29400000,16587235290,7324
48,Dr. Vivek Bindra: Motivational Speaker @UCR-foyF-C6VuAlwy3KZMkgA,20.5M,-,India,,6.2M,UCR-foyF-C6VuAlwy3KZMkgA,Dr. Vivek Bindra: Motivational Speaker,21000000,2162844277,3442
49,Goldmines Cineplex @UCCrw5RBWF9i8VPt4IxL8IsQ,20.4M,-,India,Celebrity,6.1M,UCCrw5RBWF9i8VPt4IxL8IsQ,Goldmines Cineplex,27500000,3231660915,5534
50,StarPlus @UC-LPIU24bQXVljUXivKEeRQ,20.1M,-,India,,6M,UC-LPIU24bQXVljUXivKEeRQ,StarPlus,56700000,67148535720,140098
51,DLS News @UCw0ry7cLRUnq3Oaszlhgqfg,19M,-,India,,5.7M,UCw0ry7cLRUnq3Oaszlhgqfg,DLS News,23300000,4028832455,9570
52,Heidi & Zidane बच्चों की कहानियाँ @UCC9Iz-AebxsyVF4iZagOtwA,18.9M,-,India,,5.7M,UCC9Iz-AebxsyVF4iZagOtwA,Heidi & Zidane बच्चों की कहानियाँ,21000000,15220211755,1311
53,Green Gold TV - Official Channel @UCiBigY9XM-HaOxUc269ympg,18.7M,-,India,,5.6M,UCiBigY9XM-HaOxUc269ympg,Green Gold TV - Official Channel,22200000,11676037430,3519
54,Khan GS Research Centre @UCatL-c6pmnjzEOHSyjn-sHA,18.2M,3.8%,India,,5.5M,UCatL-c6pmnjzEOHSyjn-sHA,Khan GS Research Centre,25900000,2812829149,413
