channel_id,channel_name,total_subscribers,total_views,total_videos
UCnSFZ-olBoLGLRUS_3RI2Aw,Taarak Mehta Ka Ooltah Chashmah,37700000,53326570604,29715
UC9CYT9gSNLevX5ey2_6CK0Q,NDTV India,26600000,32482919276,361516
UCIeNlITYK46VkR7yIuTL8GQ,Volga Video,18000000,7898437685,4628
UCVmEbEQUGXHVm-O9pqa3JWg,Harsh Beniwal,16600000,2612141972,224
UCe3GjNY3Kqi8Xd6nT4JN_6w,Fun For Kids TV - Hindi Rhymes,22400000,10895287854,336
UChXi_PlJkRMPYFQBOJ3MpxA,Gyan Gamingㅤ,19600000,533092724,274
UCB4SvelHl4qjFSNYfxhp-SQ,Team Films Bhojpuri,17200000,7195736761,20473
UCgJ5_1F6yJhYLnyMszUdmUg,Shorts Break,48800000,43436931381,1057
UCAH1Aw-mXgcB3t8uaqW4yTA,SRK MUSIC,20000000,8890042405,5672
UCUPD0jQo-EP0B1Nf4uzeIMA,Mazhavil Manorama,21000000,29129764156,179221
UC783dnzJqf2ghHp_pFLYbGA,DM - Desi Melodies,21300000,9005944382,1224
UCXOgAl4w-FQero1ERbGHpXQ,Zee 5,20000000,28853371097,257455
UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,21700000,22587885204,6270
UC4B6dDVB0Umrh5l4UgxUtyg,MY FAMILY,19800000,7977754309,471
UCL3IoeeHKzWMxZxhmnmETjw,,,,
UCU_AsfgtKjwR4qaSwgsWn-w,infobells,14400000,5854711399,768
UC0zXnLIFedO97pFsyMxZcFg,The MriDul,20000000,6924877254,441
UCpCWa9f5_J3PqY-_Lg-_QfQ,MyMissAnand,13800000,5684418978,548
UCuN4A3GCUq5-0wJDSiJoxRQ,Anaysa,13500000,3845069891,724
UCgoxyzvouZM-tCgsYzrYtyg,NishaMadhulika,15200000,3689514498,2583
UCnoqvTW4YZExfDeq7_Wmd-w,ETV Jabardasth,15700000,18189995441,17791
UCx6F-rETGiz7xf_vkMmX2yQ,Mythpat,17500000,4460442978,437
UCuApqv2tNQ73S7gcfrfCSDw,Desi Gamers,17700000,2993875282,1549
UCeMsqI6jU9WE2ctsrbxbywQ,Zee Bangla,21800000,18714142018,199593
UCJeeXUtsKBj89Ra1nszP4JQ,,,,
UCTbNOCtAGaqOEnLMeo3JTeg,CookingShooking Hindi,13500000,2045163241,447
UC3PYGKK29qJ0zu-eEthHK4g,Zee Telugu,18000000,16527233529,226682
UC9dyrsYEmD4iGJ8Oz1G5dpw,Dear Sir,22700000,2478051169,1628
UCpN-WGQgGsOrXm7nHXDdTDA,T-Series Hamaar Bhojpuri,24400000,14847055818,12112
UCPMqs8vxEwbie26nFA3ykAw,Health Time,12300000,1024696566,1724
